,State,Year,Population,Number of Cannabis Users,Number of Opioid Deaths,Per Capita Cannabis Use,Per Capita Opioid Deaths
0,Total U.S.,2014,318386329,34038000,47055,0.10690785658702073,0.00014779214970627713
1,Total U.S.,2015,320738994,35584000,52404,0.11094379126224983,0.00016338518540093695
2,Total U.S.,2016,323071755,36806000,63450,0.11392515572894944,0.0001963959987774233
3,Total U.S.,2017,325122128,39252000,70237,0.12073001687538167,0.0002160326657310757
4,Total U.S.,2018,326838199,42211000,56144,0.12914953065201537,0.00017177918667946154
5,Total U.S.,2019,328329953,45865000,70630,0.1396917935172366,0.00021511896601160844
6,Total U.S.,2020,329484123,48938000,91799,0.14852915993163046,0.0002786143355381042
7,North Dakota,2014,738736,62000,43,0.08392714041281324,5.820753286695112e-05
8,Nebraska,2014,1879955,158000,125,0.08404456489650018,6.649095324090205e-05
9,South Dakota,2014,849670,62000,63,0.07296950580813728,7.414643332117176e-05
10,Iowa,2014,3110643,251000,264,0.08069071249899136,8.486991274794311e-05
11,Texas,2014,26963092,2043000,2601,0.07577024178087587,9.64651976857847e-05
12,Minnesota,2014,5452665,553000,517,0.10141829729132451,9.481602115662708e-05
13,Virginia,2014,8315430,891000,980,0.10715020149288731,0.00011785319580586933
14,Mississippi,2014,2991892,229000,336,0.07654019596964061,0.00011230351897728928
15,Georgia,2014,10071204,963000,1206,0.09561915338027112,0.0001197473509622087
16,Hawaii,2014,1415335,144000,157,0.10174269695867057,0.0001109278015452172
17,California,2014,38586706,4633000,4521,0.12006725839723142,0.00011716470434143822
18,Arizona,2014,6732873,752000,356,0.11169080420795105,5.2874901992061936e-05
19,Arizona,2014,6732873,752000,1211,0.11169080420795105,0.00017986378177636798
20,New York,2014,19653431,2372000,2300,0.12069139480022598,0.0001170279123273692
21,Oregon,2014,3965447,649000,522,0.16366376854866552,0.00013163711430262464
22,Kansas,2014,2901861,259000,332,0.08925306897883806,0.00011440933938600092
23,Illinois,2014,12885092,1305000,1705,0.10127983564261707,0.0001323234634257947
24,Florida,2014,19853880,1990000,2634,0.10023229716307341,0.00013266928177263084
25,Alabama,2014,4843737,404000,723,0.08340667546565803,0.00014926491673680878
26,North Carolina,2014,9937295,986000,1358,0.09922217263349835,0.00013665690713619754
27,South Carolina,2014,4826858,460000,701,0.09530008962351907,0.00014522904962192796
28,Maine,2014,1331217,224000,216,0.1682670819257867,0.00016225754328558003
29,Washington,2014,7057531,1105000,979,0.15657033599994105,0.00013871706691759484
30,Idaho,2014,1632248,152000,212,0.09312310384206321,0.00012988222377971974
31,Alaska,2014,737075,114000,124,0.15466540040023063,0.0001682325407862158
32,Montana,2014,1022657,120000,125,0.1173413959910312,0.00012223062082399085
33,New Jersey,2014,8867277,844000,1253,0.09518141815125433,0.0001413060627292911
34,Maryland,2014,5960064,670000,1070,0.11241490024268196,0.00017952827352189505
35,District of Columbia,2014,663603,121000,96,0.1823379339755848,0.00014466480712112514
36,Wisconsin,2014,5753199,572000,853,0.0994229471290668,0.00014826533898792653
37,Vermont,2014,625693,108000,83,0.17260861157148955,0.00013265291444845956
38,New Hampshire,2014,1334257,194000,334,0.14539927465248448,0.0002503265862573702
39,Colorado,2014,5352637,909000,899,0.16982283685592728,0.00016795459882670916
40,Michigan,2014,9932033,1304000,1762,0.1312923547475124,0.00017740577382294238
41,Connecticut,2014,3595697,427000,623,0.11875305399759768,0.00017326265255387203
42,Massachusetts,2014,6764864,989000,1289,0.14619658281378606,0.00019054337234274038
43,Indiana,2014,6596019,700000,1172,0.10612461850094732,0.0001776829326901575
44,Wyoming,2014,583159,51000,109,0.08745470789270164,0.00018691300314322508
45,Missouri,2014,6059130,639000,1067,0.10546068494981953,0.00017609788864077845
46,Louisiana,2014,4645938,425000,777,0.09147775971181707,0.00016724286893195735
47,Tennessee,2014,6544617,560000,1269,0.08556650450286091,0.00019389981109666158
48,Delaware,2014,933131,109000,189,0.11681103724986096,0.00020254390862590568
49,Pennsylvania,2014,12792392,1265000,2732,0.09888690090172346,0.0002135644373624573
50,Oklahoma,2014,3879187,338000,777,0.08713165928840244,0.0002002997019736352
51,Ohio,2014,11606573,1122000,2744,0.09666936140409405,0.00023641776086705352
52,Nevada,2014,2818935,304000,545,0.10784214605870657,0.00019333542632235225
53,Utah,2014,2938327,224000,603,0.07623385688522755,0.00020521882009728664
54,Rhode Island,2014,1056511,170000,247,0.16090698535083875,0.00023378838459798336
55,New Mexico,2014,2090236,267000,547,0.1277367723070505,0.00026169293802230946
56,Kentucky,2014,4416992,398000,1077,0.09010657026320175,0.00024383109591323687
57,West Virginia,2014,1850569,172000,627,0.09294438629416142,0.00033881471050255355
58,Alabama,2015,4854803,389000,736,0.08012683521864841,0.00015160244401266128
59,Alaska,2015,738430,127000,122,0.17198651192394676,0.00016521538940725592
60,Arizona,2015,6832810,734000,1274,0.10742286116546487,0.0001864533039847442
61,Arkansas,2015,2979732,284000,392,0.09531058497878332,0.0001315554553228277
62,California,2015,38904296,4936000,4659,0.1268754484080627,0.00011975541210153243
63,Colorado,2015,5454328,1033000,869,0.18939088371656418,0.00015932301834433132
64,Connecticut,2015,3588561,479000,800,0.13347968726183002,0.00022293058415336956
65,Delaware,2015,942065,103000,198,0.1093342816047725,0.0002101765801722811
66,District of Columbia,2015,677014,134000,125,0.1979279601308097,0.0001846342911668001
67,Florida,2015,20219111,2152000,3228,0.10643395745737783,0.00015965093618606674
68,Georgia,2015,10183353,1052000,1302,0.10330585613598979,0.00012785572689074021
69,Hawaii,2015,1422999,147000,169,0.10330295383201253,0.00011876325984768787
70,Idaho,2015,1652495,152000,218,0.09198212400037518,0.0001319217304742223
71,Illinois,2015,12859585,1339000,1835,0.10412466654250506,0.0001426951180772941
72,Indiana,2015,6611442,760000,1245,0.11495222978587727,0.00018830990274133842
73,Iowa,2015,3122541,235000,309,0.07525921997501393,9.895786796714599e-05
74,Kansas,2015,2910717,292000,329,0.10031892485597191,0.00011303056944388616
75,Kentucky,2015,4429126,449000,1273,0.10137440208293916,0.000287415621050293
76,Louisiana,2015,4666998,427000,861,0.09149350396121875,0.00018448690142999847
77,Maine,2015,1329098,227000,269,0.17079252244755466,0.0002023929010501859
78,Maryland,2015,5988528,757000,1285,0.12640835944993495,0.00021457693777168614
79,Massachusetts,2015,6797484,1058000,1724,0.15564582424908982,0.0002536232523680821
80,Michigan,2015,9934483,1266000,1980,0.127434915334799,0.00019930579175584677
81,Minnesota,2015,5484002,579000,581,0.10557983020429242,0.00010594452737252831
82,Mississippi,2015,2990231,212000,351,0.07089753266553654,0.00011738223568680815
83,Missouri,2015,6075411,683000,1066,0.11242037781476842,0.00017546138030826228
84,Montana,2015,1031495,133000,138,0.12893906417384476,0.00013378639741346297
85,Nebraska,2015,1892059,166000,126,0.0877351076261364,6.659411783670593e-05
86,Nevada,2015,2868531,309000,619,0.10772064168035834,0.00021578989385159162
87,New Hampshire,2015,1337480,199000,422,0.1487872715853695,0.0003155187367287735
88,New Jersey,2015,8870312,894000,1454,0.10078563189209128,0.00016391757133232742
89,New Mexico,2015,2090071,253000,501,0.12104851940436473,0.0002397047755793942
90,New York,2015,19657321,2519000,2754,0.12814564100570977,0.00014010047452549612
91,North Carolina,2015,10037218,975000,1567,0.09713847004219694,0.00015611895646781807
92,North Dakota,2015,755537,61000,61,0.08073727693018343,8.073727693018344e-05
93,Ohio,2015,11622315,1179000,3310,0.10144278484966206,0.0002847969617068544
94,Oklahoma,2015,3910518,358000,725,0.09154797395127705,0.00018539743328121748
95,Oregon,2015,4018542,659000,505,0.16398982516544558,0.00012566746845000002
96,Pennsylvania,2015,12789838,1339000,3264,0.1046924910229512,0.00025520260694466965
97,Rhode Island,2015,1056886,170000,310,0.16084989298751237,0.00029331451074193435
98,South Carolina,2015,4896006,507000,761,0.10355379466446732,0.0001554328160545555
99,South Dakota,2015,854663,75000,65,0.08775388661963839,7.60533684036866e-05
100,Tennessee,2015,6595354,606000,1457,0.09188286178421962,0.00022091308518087127
101,Texas,2015,27468531,2213000,2588,0.08056491990780286,9.4216905884046e-05
102,Utah,2015,2983626,211000,646,0.07071931937850119,0.00021651507259958186
103,Vermont,2015,625810,111000,99,0.17737012831370544,0.00015819497930681837
104,Virginia,2015,8367303,796000,1039,0.09513220687717416,0.00012417382279570848
105,Washington,2015,7167287,1037000,1094,0.14468515074113816,0.00015263795073365975
106,West Virginia,2015,1843332,174000,725,0.09439428165951658,0.0003933095069146524
107,Wisconsin,2015,5762927,584000,878,0.10133739330725515,0.00015235313582837333
108,Wyoming,2015,586389,52000,96,0.08867833468908864,0.00016371384865677903
109,Alabama,2016,4866824,386000,756,0.07931250441766541,0.00015533744388537577
110,Alaska,2016,742575,134000,128,0.18045315288018046,0.00017237316096017238
111,Arizona,2016,6944767,696000,1382,0.10021934501186289,0.00019899875690573924
112,Arkansas,2016,2991815,274000,401,0.0915832028384108,0.00013403235159928004
113,California,2016,39149186,5296000,4654,0.13527739759391166,0.00011887858919978566
114,Colorado,2016,5543844,1057000,942,0.19066193060266487,0.00016991820116150455
115,Connecticut,2016,3579830,461000,971,0.12877706483268758,0.0002712419304827324
116,Delaware,2016,949989,105000,282,0.1105275955826857,0.00029684554242207016
117,District of Columbia,2016,687576,143000,269,0.20797700908699548,0.0003912294786321803
118,Florida,2016,20627237,2275000,4728,0.11029106806694469,0.00022921150321780857
119,Georgia,2016,10308442,1048000,1394,0.10166424761375191,0.00013522897058546772
120,Hawaii,2016,1428885,151000,191,0.10567680394153484,0.0001336706592902858
121,Idaho,2016,1684036,158000,243,0.09382222232778872,0.00014429620269400416
122,Illinois,2016,12821709,1320000,2411,0.10295039452229028,0.00018804045544942565
123,Indiana,2016,6637898,733000,1526,0.11042652357719265,0.00022989205317707504
124,Iowa,2016,3133210,254000,314,0.08106702072315612,0.00010021671065775994
125,Kansas,2016,2912977,265000,131,0.09097222532138084,4.497117553622977e-05
126,Kentucky,2016,4440306,470000,1419,0.10584856088747037,0.00031957256999855417
127,Louisiana,2016,4681346,429000,996,0.09164031028682776,0.0002127593217848029
128,Maine,2016,1332348,228000,353,0.1711264624557548,0.0002649457949424625
129,Maryland,2016,6007014,779000,2044,0.12968173538466865,0.0003402688923315311
130,Massachusetts,2016,6827280,1088000,2227,0.15936068243868715,0.00032619139686668777
131,Michigan,2016,9954117,1317000,2347,0.132307064504064,0.00023578183780640713
132,Minnesota,2016,5525360,592000,672,0.10714234004662139,0.00012162103464751619
133,Mississippi,2016,2990595,231000,352,0.0772421541532705,0.00011770233013831696
134,Missouri,2016,6091384,668000,1371,0.1096630913434451,0.00022507200334111264
135,Montana,2016,1042137,160000,119,0.15353067782834695,0.00011418844163483305
136,Nebraska,2016,1906483,176000,120,0.09231658504167098,6.294312616477566e-05
137,Nevada,2016,2919555,319000,665,0.1092632267588725,0.00022777443822774362
138,New Hampshire,2016,1343694,202000,481,0.1503318463876448,0.00035796840649731266
139,New Jersey,2016,8873584,907000,2056,0.10221349118912944,0.00023169893923357236
140,New Mexico,2016,2092555,272000,500,0.12998463600717783,0.00023894234560142984
141,New York,2016,19636391,2491000,3638,0.1268563047048717,0.00018526826034376682
142,North Carolina,2016,10161802,996000,1956,0.09801411206398235,0.00019248554537866413
143,North Dakota,2016,756114,61000,77,0.08067566530972843,0.0001018364955549031
144,Ohio,2016,11640060,1344000,4329,0.11546332235400848,0.0003719052994572193
145,Oklahoma,2016,3928143,357000,813,0.09088263843755179,0.00020696802534938264
146,Oregon,2016,4093271,783000,506,0.1912895579110203,0.0001236175176283222
147,Pennsylvania,2016,12788468,1415000,4627,0.11064656063572274,0.00036181034350635276
148,Rhode Island,2016,1057816,184000,326,0.17394329448599757,0.00030818214131758263
149,South Carolina,2016,4963031,448000,879,0.09026741924440931,0.00017710951231213345
150,South Dakota,2016,863693,83000,69,0.09609896108918331,7.988949777293552e-05
151,Tennessee,2016,6651277,709000,1630,0.10659607170171984,0.0002450657219658721
152,Texas,2016,27914064,2264000,2831,0.0811060689693912,0.0001014184104471495
153,Utah,2016,3044241,229000,635,0.07522400493259239,0.00020859058136330204
154,Vermont,2016,624366,118000,125,0.18899171319386385,0.000200203086010449
155,Virginia,2016,8417651,768000,1405,0.09123685455716803,0.00016691117272502745
156,Washington,2016,7299961,1140000,1102,0.15616521786897217,0.0001509597106066731
157,West Virginia,2016,1832435,179000,884,0.09768422890852882,0.00048241820310133786
158,Wisconsin,2016,5775170,592000,1074,0.10250780496504865,0.00018596855157510515
159,Wyoming,2016,585243,51000,99,0.0871432891978204,0.00016916050256047488
160,Alabama,2017,4877989,429000,835,0.08794607777918319,0.00017117709777533324
161,Alaska,2017,740983,133000,147,0.17949129737119476,0.00019838511814711
162,Arizona,2017,7048088,802000,1532,0.11378972566744343,0.00021736391486598918
163,Arkansas,2017,3003855,312000,446,0.10386653150701348,0.00014847587516707698
164,California,2017,39337785,5713000,4868,0.14522932595213484,0.0001237487062375271
165,Colorado,2017,5617421,1155000,1015,0.20561036817429207,0.00018068789930468092
166,Connecticut,2017,3575324,497000,1072,0.1390083807789168,0.00029983296618712037
167,Delaware,2017,957942,119000,338,0.12422463990512995,0.0003528397335120498
168,District of Columbia,2017,697079,154000,310,0.2209218754258843,0.00044471286611703984
169,Florida,2017,20977089,2425000,5088,0.11560231259923624,0.00024255033670305732
170,Georgia,2017,10417031,993000,1537,0.09532466592448463,0.00014754683940174508
171,Hawaii,2017,1425763,152000,203,0.10660958378075458,0.0001423799046545604
172,Idaho,2017,1719745,175000,236,0.10175927245027606,0.000137229647418658
173,Illinois,2017,12779893,1482000,2778,0.11596341221323214,0.0002173727119624554
174,Indiana,2017,6662068,796000,1852,0.11948241897260731,0.0002779917587151617
175,Iowa,2017,3143734,298000,341,0.09479173492413798,0.00010846973694339279
176,Kansas,2017,2910892,283000,333,0.09722105801245803,0.00011439792338568384
177,Kentucky,2017,4455590,475000,1566,0.10660765465404133,0.0003514686046067973
178,Louisiana,2017,4673673,469000,1108,0.10034933980190741,0.00023707264072604138
179,Maine,2017,1335743,253000,424,0.18940769294692167,0.00031742633126282527
180,Maryland,2017,6028186,781000,2247,0.12955804615186062,0.0003727489496840343
181,Massachusetts,2017,6863560,1173000,2168,0.17090256368415224,0.0003158710639959438
182,Michigan,2017,9976752,1406000,2694,0.14092762855085503,0.000270027760537698
183,Minnesota,2017,5569283,635000,733,0.11401826770160539,0.00013161478775634134
184,Mississippi,2017,2990674,279000,354,0.09329000753676261,0.00011836796655202139
185,Missouri,2017,6111382,699000,1367,0.11437674817250829,0.00022368099392248758
186,Montana,2017,1053862,171000,119,0.16226033389570932,0.00011291801013794976
187,Nebraska,2017,1916998,180000,152,0.0938968115772682,7.929064088747094e-05
188,Nevada,2017,2972097,416000,676,0.1399685138136474,0.00022744883494717704
189,New Hampshire,2017,1350395,216000,467,0.15995319887884657,0.0003458247401686173
190,New Jersey,2017,8888147,912000,2685,0.10260856396727012,0.0003020877129957459
191,New Mexico,2017,2092844,302000,493,0.14430124748906273,0.0002355646192453905
192,New York,2017,19593849,2436000,3921,0.12432473068461435,0.0002001138214344716
193,North Carolina,2017,10275758,1024000,2414,0.09965201593887284,0.00023492184226214747
194,North Dakota,2017,756755,68000,68,0.08985735145456587,8.985735145456588e-05
195,Ohio,2017,11665706,1343000,5111,0.11512376533404836,0.00043812179048571945
196,Oklahoma,2017,3933602,388000,775,0.09863733036540047,0.00019702044080717877
197,Oregon,2017,4147294,928000,530,0.2237603603699183,0.00012779417133195766
198,Pennsylvania,2017,12794679,1433000,5388,0.11199968361847921,0.0004211125578062568
199,Rhode Island,2017,1056554,189000,320,0.17888342668713572,0.0003028714102639335
200,South Carolina,2017,5027102,462000,1008,0.09190185518415978,0.00020051313858362134
201,South Dakota,2017,873732,87000,73,0.09957286673716884,8.354964680245201e-05
202,Tennessee,2017,6714748,748000,1776,0.11139658554572711,0.00026449242771284937
203,Texas,2017,28291024,2396000,2989,0.08469117271965836,0.00010565188449877248
204,Utah,2017,3103540,253000,650,0.0815198128588644,0.00020943825438048165
205,Vermont,2017,625132,129000,134,0.2063564175246188,0.00021435472828138698
206,Virginia,2017,8471011,824000,1507,0.09727292291321543,0.000177900843240553
207,Washington,2017,7427951,1378000,1169,0.18551549411136395,0.00015737852874904532
208,West Virginia,2017,1818683,200000,974,0.10996968685581819,0.0005355523749878346
209,Wisconsin,2017,5793147,619000,1177,0.10685038719024392,0.00020317109163637656
210,Wyoming,2017,579994,58000,69,0.10000103449346028,0.00011896674793187515
211,Alabama,2018,4891628,514000,775,0.10507749158357912,0.00015843396104527982
212,Alaska,2018,736624,139000,110,0.18869871196159776,0.00014932991594083278
213,Arizona,2018,7164228,987000,1670,0.13776780973469857,0.00023310257574158722
214,Arkansas,2018,3012161,333000,444,0.11055185961175382,0.00014740247948233842
215,Delaware,2018,966985,139000,401,0.1437457664803487,0.0004146910241627326
216,District of Columbia,2018,704147,157000,254,0.222964807064434,0.00036072013372207793
217,Florida,2018,21254926,2587000,4698,0.12171296197408545,0.00022103111532827732
218,Hawaii,2018,1423102,165000,213,0.11594390282636101,0.00014967303819402966
219,Idaho,2018,1752074,196000,250,0.11186742112490683,0.00014268803714911584
220,Illinois,2018,12724685,1635000,2722,0.12849041056812016,0.00021391492205897434
221,Indiana,2018,6698481,867000,1629,0.1294323295087349,0.00024318946340222506
222,Iowa,2018,3149900,326000,287,0.10349534905870028,9.111400361916251e-05
223,Kentucky,2018,4464273,478000,1315,0.10707230494192448,0.0002945608389092692
224,Louisiana,2018,4664450,468000,1140,0.1003333726377172,0.00024440180514315727
225,Maine,2018,1340123,277000,345,0.20669744493602452,0.0002574390559672508
226,Maryland,2018,6042153,738000,2324,0.12214189213679297,0.00038463110748767867
227,Massachusetts,2018,6885720,1218000,2241,0.1768878200101079,0.0003254561614471689
228,Michigan,2018,9987286,1562000,2591,0.15639884549215874,0.00025942983909742846
229,Mississippi,2018,2982879,284000,310,0.0952100303096438,0.00010392644153517457
230,Missouri,2018,6125986,743000,1610,0.12128659778197338,0.0002628148350322707
231,Nebraska,2018,1925512,200000,138,0.10386847757895043,7.16692495294758e-05
232,New Hampshire,2018,1355064,240000,452,0.17711340571367848,0.00033356358076076114
233,New Jersey,2018,8891730,931000,2900,0.10470403397314133,0.0003261457556628463
234,New Mexico,2018,2093754,325000,537,0.1552235840504663,0.00025647712195415507
235,New York,2018,19544098,2556000,3697,0.13078116984472754,0.00018916196592956095
236,North Carolina,2018,10391358,1104000,2259,0.10624212927703963,0.00021739218300437729
237,North Dakota,2018,760062,74000,70,0.0973604784872813,9.209774992040123e-05
238,Ohio,2018,11680892,1348000,3980,0.11540214565805419,0.0003407274033524152
239,Oklahoma,2018,3943488,416000,716,0.10549036791794472,0.00018156515247415487
240,Pennsylvania,2018,12809107,1542000,4415,0.12038309930582983,0.0003446766429541107
241,Rhode Island,2018,1059338,189000,317,0.1784133109545773,0.0002992434898021217
242,South Carolina,2018,5091702,578000,1125,0.11351803385194184,0.00022094773024815671
243,South Dakota,2018,879386,86000,57,0.09779550731988,6.481795252596698e-05
244,Tennessee,2018,6778180,739000,1823,0.10902631679890472,0.00026895125240108703
245,Texas,2018,28624564,2559000,3005,0.08939874158432597,0.00010497976493196542
246,Utah,2018,3155153,271000,624,0.08589123887177579,0.000197771708693683
247,Vermont,2018,624802,138000,153,0.2208699716070051,0.0002448775772164622
248,Virginia,2018,8510920,841000,1448,0.09881422924901186,0.00017013436855240093
249,Washington,2018,7526793,1467000,1164,0.19490372592948949,0.00015464753713832703
250,West Virginia,2018,1805953,222000,856,0.12292678713122657,0.0004739879720014862
251,Wisconsin,2018,5809319,666000,1079,0.1146433859114984,0.00018573605615391408
252,Alabama,2019,4907965,605000,768,0.12326901271708335,0.00015648033349871076
253,Alaska,2019,733603,146000,132,0.1990177248457272,0.0001799338334221643
254,Arizona,2019,7291843,968000,1907,0.13275107541399342,0.0002615251041471957
255,Arkansas,2019,3020985,338000,388,0.11188403782210107,0.00012843493099105093
256,California,2019,39437610,6641000,6198,0.1683925572568926,0.00015715962503812985
257,Colorado,2019,5758486,1265000,1079,0.2196757967285151,0.00018737564005538956
258,Connecticut,2019,3566022,583000,1214,0.16348749390777734,0.00034043536467245574
259,Delaware,2019,976668,149000,435,0.15255951869007686,0.00044539188342404996
260,District of Columbia,2019,708253,164000,311,0.2315556729021974,0.00043910862361331334
261,Florida,2019,21492056,2705000,5268,0.1258604574639113,0.00024511382252121437
262,Georgia,2019,10628020,1310000,1408,0.12325908306533108,0.0001324799915694551
263,Hawaii,2019,1415615,182000,242,0.12856602960550714,0.00017095043496996004
264,Idaho,2019,1789060,205000,265,0.11458531295764256,0.00014812247772573307
265,Illinois,2019,12667017,1748000,2790,0.13799618331608776,0.00022025706604798903
266,Indiana,2019,6731010,928000,1699,0.1378693539305394,0.00025241382793964056
267,Iowa,2019,3159596,327000,352,0.10349424420084087,0.00011140664819173084
268,Kansas,2019,2912635,349000,403,0.11982277216335037,0.00013836268533475702
269,Kentucky,2019,4472345,553000,1380,0.12364877933164817,0.0003085629574641491
270,Louisiana,2019,4658285,464000,1267,0.09960747356591536,0.00027198851079313525
271,Maine,2019,1345770,289000,371,0.21474694784398524,0.00027567860778587725
272,Maryland,2019,6054954,813000,2369,0.1342702190635965,0.0003912498757215992
273,Massachusetts,2019,6894883,1318000,2210,0.19115625312278686,0.0003205275564501965
274,Michigan,2019,9984795,1765000,2385,0.17676877692531495,0.00023886319148264936
275,Minnesota,2019,5640053,781000,792,0.13847387604336342,0.00014042421232566432
276,Mississippi,2019,2978227,297000,394,0.0997237618220505,0.00013229347527908382
277,Missouri,2019,6140475,763000,1583,0.1242574882236309,0.0002577976459475855
278,Montana,2019,1070123,180000,143,0.1682049633546798,0.00013362949866510673
279,Nebraska,2019,1932571,227000,161,0.11746010883946825,8.33087115557462e-05
280,Nevada,2019,3090771,613000,647,0.1983323902029623,0.0002093328816660956
281,New Hampshire,2019,1360783,253000,407,0.18592236969450676,0.00029909250776942394
282,New Jersey,2019,8891258,1033000,2805,0.1161815347164597,0.00031547841711487845
283,New Mexico,2019,2099634,358000,599,0.17050590722002026,0.0002852878168290283
284,New York,2019,19463131,2871000,3617,0.1475096684084385,0.00018583854776500246
285,North Carolina,2019,10501384,1316000,2266,0.1253168153835723,0.00021578108180788361
286,North Dakota,2019,763724,78000,82,0.10213113637911078,0.00010736863055239851
287,Ohio,2019,11696507,1556000,4251,0.13303116904901607,0.0003634418378067914
288,Oklahoma,2019,3960676,497000,645,0.12548362956222625,0.0001628509880636538
289,Oregon,2019,4216116,969000,615,0.22983238601594452,0.00014586885180578523
290,Pennsylvania,2019,12798883,1752000,4377,0.13688694552485556,0.00034198296835747304
291,Rhode Island,2019,1058158,212000,307,0.20034815216631166,0.000290126805259706
292,South Carolina,2019,5157702,620000,1127,0.12020857350812436,0.00021850816507041314
293,South Dakota,2019,887127,80000,86,0.09017874554601539,9.694215146196655e-05
294,Tennessee,2019,6830325,780000,2089,0.11419661582721173,0.0003058419621321094
295,Texas,2019,28986794,2862000,3136,0.09873461687415311,0.00010818719724575268
296,Utah,2019,3203383,314000,571,0.09802137302970017,0.00017824905732470952
297,Vermont,2019,624046,148000,133,0.23716200408303234,0.0002131253144800223
298,Virginia,2019,8556642,866000,1547,0.10120792712842258,0.00018079522317282877
299,Washington,2019,7614024,1624000,1259,0.21329063317898656,0.00016535277535242862
300,West Virginia,2019,1795263,217000,870,0.12087365472356976,0.0004846086617949571
301,Wisconsin,2019,5824581,720000,1201,0.12361404193709384,0.00020619508939784682
302,Wyoming,2019,580116,61000,79,0.10515138351640017,0.00013617966061960023
303,Alabama,2020,4921532,608000,1029,0.12353876800963602,0.00020908123730578203
304,Alaska,2020,731158,140000,160,0.19147708156103058,0.00021883095035546353
305,Arizona,2020,7421401,1124000,2550,0.15145388316842062,0.0003436008915297799
306,Arkansas,2020,3030522,372000,546,0.12275113000334596,0.00018016698113394326
307,California,2020,39368078,7133000,8908,0.18118740772663577,0.000226274699008674
308,Colorado,2020,5807719,1300000,1492,0.2238400308279378,0.0002568994815348332
309,Connecticut,2020,3557006,626000,1371,0.17599070679104842,0.0003854365159912578
310,Delaware,2020,986809,140000,444,0.14187142598010355,0.0004499350938226141
311,District of Columbia,2020,712816,181000,424,0.2539224708760746,0.0005948239096765505
312,Florida,2020,21733312,3003000,7231,0.1381749822576513,0.000332715050517841
313,Georgia,2020,10710017,1207000,1916,0.11269823381232728,0.0001788979419920622
314,Hawaii,2020,1407006,175000,274,0.12437757905794289,0.00019473975235357916
315,Idaho,2020,1826913,239000,287,0.1308217742169441,0.0001570956033483806
316,Illinois,2020,12587530,2125000,3549,0.1688178697488705,0.00028194570340646656
317,Indiana,2020,6754953,873000,2321,0.12923850099327117,0.0003435997260084563
318,Iowa,2020,3163561,389000,432,0.12296269931257846,0.00013655497712862182
319,Kansas,2020,2913805,387000,490,0.13281602578072316,0.00016816499388256937
320,Kentucky,2020,4477251,557000,2083,0.1244066950903579,0.0004652408363971553
321,Louisiana,2020,4645318,552000,1896,0.11882932449403895,0.00040815289717517725
322,Maine,2020,1350141,283000,496,0.20960773726595963,0.00036736903775235326
323,Maryland,2020,6055802,839000,2771,0.13854482032272522,0.000457577708121897
324,Massachusetts,2020,6893574,1432000,2302,0.20772969144887687,0.0003339341827620912
325,Michigan,2020,9966555,1918000,2759,0.19244362771288576,0.00027682584403537633
326,Minnesota,2020,5657342,776000,1050,0.1371668886201329,0.00018559952712775716
327,Mississippi,2020,2966786,334000,586,0.11257974117445613,0.00019752014469530326
328,Missouri,2020,6151548,831000,1875,0.13508794859440257,0.0003048013280559625
329,Montana,2020,1080577,212000,162,0.19619147918195556,0.00014991990390319246
330,Nebraska,2020,1937552,220000,214,0.11354533968636712,0.00011044864860401166
331,Nevada,2020,3138259,588000,832,0.18736503265026883,0.00026511514823983616
332,New Hampshire,2020,1366275,260000,393,0.19029843918684014,0.0002876434100016468
333,New Jersey,2020,8882371,1121000,2840,0.12620504142418731,0.00031973444928161637
334,New Mexico,2020,2106319,329000,784,0.15619666346835404,0.0003722133257118224
335,New York,2020,19336776,2986000,4965,0.15442077831382026,0.0002567646230167842
336,North Carolina,2020,10600823,1406000,3146,0.1326312117464842,0.0002967694112051489
337,North Dakota,2020,765309,92000,114,0.12021288133289952,0.00014895943991250594
338,Ohio,2020,11693217,1704000,5204,0.14572550907077153,0.00044504433638749714
339,Oklahoma,2020,3980783,629000,762,0.1580091152921423,0.0001914196277466016
340,Oregon,2020,4241507,1008000,803,0.23765138192628232,0.00018931950365754435
341,Pennsylvania,2020,12783254,1832000,5168,0.14331249304754487,0.00040427891051840166
342,Rhode Island,2020,1057125,224000,397,0.21189547120728391,0.00037554688423790944
343,South Carolina,2020,5218040,592000,1739,0.1134525607316157,0.00033326689714912114
344,South Dakota,2020,892717,95000,83,0.10641670316572889,9.297459329216314e-05
345,Tennessee,2020,6886834,874000,3034,0.12690882341581053,0.0004405507668690722
346,Texas,2020,29360759,2987000,4172,0.10173442723330142,0.0001420944192893651
347,Utah,2020,3249879,354000,622,0.10892713236400493,0.00019139174104635894
348,Vermont,2020,623347,160000,190,0.25667886426019537,0.000304806151308982
349,Virginia,2020,8590563,959000,2240,0.11163412689017006,0.0002607512452909082
350,Washington,2020,7693612,1715000,1733,0.22291220300685816,0.00022525180630372313
351,West Virginia,2020,1784787,214000,1330,0.11990226284705122,0.0007451869606849445
352,Wisconsin,2020,5832655,765000,1531,0.1311581089572416,0.00026248766642292406
353,Wyoming,2020,582328,67000,99,0.11505543267711668,0.00017000728111991867
